subscription,resource_group
sub-gal-dbaas-prod,pl-rg-gal-prod-cus-13f6
sub-gal-dbaas-prod,pl-rg-inp-prod-cus-20b6
sub-gal-dbaas-prod,pl-rg-lha-prod-cus-2078
sub-gal-dbaas-prod,pl-rg-obk-prod-cus-956e
sub-gal-dbaas-prod,pl-rg-wrk-prod-cus-4962
sub-gal-dbaas-prod,rg-bkm-prod-cus-bde0
sub-gal-dbaas-prod,rg-bmr-prod-cus-5f99
sub-gal-dbaas-prod,rg-btt-prod-cus-1375
sub-gal-dbaas-prod,rg-dbaas-mgmt-prod-cus-ace8
sub-gal-dbaas-prod,rg-gal-prod-cus-13f6
sub-gal-dbaas-prod,rg-inp-prod-cus-20b6
sub-gal-dbaas-prod,rg-lha-prod-cus-2078
sub-gal-dbaas-prod,rg-obk-prod-cus-956e
sub-gal-dbaas-prod,rg-tdw-storage-prod-cus-7caa
sub-gal-dbaas-prod,rg-wrk-prod-cus-4962
sub-gal-dbaas-qa,pl-rg-dab-qa-cus-c34a
sub-gal-dbaas-qa,rg-dab-qa-cus-c34a
sub-gal-dbaas-qa,managed-rg-gal-dbaas-qa-cus-01
sub-gal-dbaas-qa,NetworkWatcherRG
sub-gal-dbaas-qa,pl-rg-bkm-qa-cus-f015
sub-gal-dbaas-qa,pl-rg-dab-qa-cus-c34a
sub-gal-dbaas-qa,pl-rg-gal-qa-cus-5d3a
sub-gal-dbaas-qa,pl-rg-lha-qa-cus-fa38
sub-gal-dbaas-qa,rg-bkm-qa-cus-f015
sub-gal-dbaas-qa,rg-dab-qa-cus-c34a
sub-gal-dbaas-qa,rg-dbaas-mgmt-qa-cus-c319
sub-gal-dbaas-qa,rg-gal-qa-cus-5d3a
sub-gal-dbaas-qa,rg-lha-qa-cus-fa38
sub-gal-dbaas-qa,rg-tdw-storage-qa-cus-3343
sub-gal-dbaas-uat,managed-rg-gal-dbaas-uat-cus-01
sub-gal-dbaas-uat,NetworkWatcherRG
sub-gal-dbaas-uat,pl-rg-bkm-uat-cus-195a
sub-gal-dbaas-uat,pl-rg-bmr-uat-cus-5ddd
sub-gal-dbaas-uat,pl-rg-gal-uat-cus-e61d
sub-gal-dbaas-uat,pl-rg-obk-uat-cus-f0d2
sub-gal-dbaas-uat,rg-bkm-uat-cus-195a
sub-gal-dbaas-uat,rg-bmr-uat-cus-5ddd
sub-gal-dbaas-uat,rg-dbaas-mgmt-uat-cus-4028
sub-gal-dbaas-uat,rg-gal-dbaas-log-analytics-uat-cus-3853
sub-gal-dbaas-uat,rg-gal-uat-cus-e61d
sub-gal-dbaas-uat,rg-obk-uat-cus-f0d2
sub-gal-dbaas-uat,rg-tdw-storage-uat-cus-2b72
sub-lha-data-dev,ai_appi-lha-data-application-insights-dev-c_589a4ad3-789c-4c05-b278-22ef2194637e_managed
sub-lha-data-dev,ai_appi-lha-data-main-dev-cus-56bf_14500080-ecf9-4b71-a9eb-2a20b392cb43_managed
sub-lha-data-dev,managed-rg-lha-data-dev-cus-01
sub-lha-data-dev,NetworkWatcherRG
sub-lha-data-dev,rg-lha-data-application-insights-dev-cus-9803
sub-lha-data-dev,rg-lha-data-app-service-plan-dev-cus-c308
sub-lha-data-dev,rg-lha-data-databricks-pools-dev-cus-32de
sub-lha-data-dev,rg-lha-data-databricks-workspace-dev-cus-32de
sub-lha-data-dev,rg-lha-data-data-preparation-dev-cus-2fa7
sub-lha-data-dev,rg-lha-data-delta-dev-cus-e3d4
sub-lha-data-dev,rg-lha-data-dev-cus-e20d
sub-lha-data-dev,rg-lha-data-fuel-idling-dev-cus-fb1d
sub-lha-data-dev,rg-lha-data-general-compute-dev-cus-36e2
sub-lha-data-dev,rg-lha-data-grade-dev-cus-d0f2
sub-lha-data-dev,rg-lha-data-k8s-services-dev-cus-fcf2
sub-lha-data-dev,rg-lha-data-log-analytics-dev-cus-dea7
sub-lha-data-dev,rg-lha-data-reliable-payload-dev-cus-3e4f
sub-lha-data-dev,rg-lha-data-road-network-dev-cus-8308
sub-lha-data-dev,rg-lha-data-sendgrid-dev-cus-601a
sub-lha-data-dev,rg-lha-data-sic-graphs-dev-cus-bf05
sub-lha-data-dev,rg-lha-data-tire-temperature-dev-cus-d1aa
sub-lha-data-dev,rg-lha-data-totalbcm-dev-cus-9e41
sub-lha-data-prod,ai_appi-lha-data-application-insights-prod-_d04cb0da-b9a9-4b92-9c40-02e2670d722b_managed
sub-lha-data-prod,managed-rg-lha-data-prod-cus-01
sub-lha-data-prod,NetworkWatcherRG
sub-lha-data-prod,rg-lha-data-application-insights-prod-cus-30f5
sub-lha-data-prod,rg-lha-data-app-service-plan-prod-cus-1e6f
sub-lha-data-prod,rg-lha-data-databricks-pools-prod-cus-a989
sub-lha-data-prod,rg-lha-data-databricks-workspace-prod-cus-a989
sub-lha-data-prod,rg-lha-data-data-preparation-prod-cus-f455
sub-lha-data-prod,rg-lha-data-delta-prod-cus-9e41
sub-lha-data-prod,rg-lha-data-fuel-idling-prod-cus-f9b3
sub-lha-data-prod,rg-lha-data-general-compute-prod-cus-3031
sub-lha-data-prod,rg-lha-data-grade-prod-cus-2ab4
